,companyName,Freq,RIC,mnemonic,name,searchTerm,DmitrySearchTerm,MarisSearchTerm,TwitterAccount,hashtagSearch
62,Corporate Travel Management,63,CTD.AX,A:CTDX,CORPORATE TRAVEL MAN.,Corporate Travel Management,,,,
63,Credit Corp Group,63,HOG,U:HOG,HARLEY-DAVIDSON,Credit Corp Group,,,,
64,Cromwell Property Group,63,CMW.AX,A:CMWX,CROMWELL PROPERTY GROUP STAPLED UNITS,Cromwell Property Group,,,,
65,Crown Resorts,63,CWN.AX,A:CWNX,CROWN RESORTS,Crown Resorts,,,,
66,CSL,63,CSL,U:CSL,CARLISLE COS.,CSL,,,,
67,CSR,63,601766.SS,CN:CSL,CRRC 'A',CSR,,,,
68,Data#3,63,DTL.AX,A:DTLX,DATA#3,Data#3,,,,
69,Decmil Group Ltd,63,DCG.AX,A:DCGX,DECMIL GROUP,Decmil Group Ltd,,,,
70,Dexus Property Group,63,DXS.AX,A:DXSX,DEXUS STAPLED UNITS,Dexus Property Group,,,,
71,Domino's Pizza Enterprises Ltd,63,DMP.AX,A:DMPX,DOMINO'S PIZZA ENTS.,Domino's Pizza Enterprises Ltd,,,,
72,Downer Group,63,DOW.AX,A:DOWX,DOWNER EDI,Downer Group,,,,
73,Eagers,63,APE.AX,A:APEX,AP EAGERS,Eagers,,,,
74,Energy Res Of Australia,63,ERA.AX,A:ERAX,ENERGY RES.OF AUS.,Energy Res Of Australia,,,,
75,Energy World,63,EAWD.PK,@EAWD,ENERGY WTR DEV,Energy World,,,,
76,Evolution Mining,63,EVN.AX,A:EVNX,EVOLUTION MINING,Evolution Mining,,,,
77,FlexiGroup,63,FXL.AX,A:FXLX,FLEXIGROUP,FlexiGroup,,,,
78,Flight Centre Travel Group,63,FLT.AX,A:FLTX,FLIGHT CENTRE TRAVEL GP.,Flight Centre Travel Group,,,,
79,Fortescue Metals Group,63,FMG.AX,A:FMGX,FORTESCUE METALS GP.,Fortescue Metals Group,,,,
80,Freedom Foods Group,63,FNP.AX,A:FNPX,FREEDOM FOODS GROUP,Freedom Foods Group,,,,
81,G.U.D. Holdings,63,GUD.AX,A:GUDX,GUD HOLDINGS,G.U.D. Holdings,,,,
82,G8 Education,63,GEM.AX,A:GEMX,G8 EDUCATION,G8 Education,,,,
83,GDI Property Group,63,GDI.AX,A:GDIX,GDI PROPERTY GROUP STAPLED UNITS,GDI Property Group,,,,
84,Genworth Mortgage Insurance Australia,63,GMA.AX,A:GMAX,GENWORTH MGE.IN.AUS.,Genworth Mortgage Insurance Australia,,,,
85,Goodman Group,63,GMG.AX,A:GMGX,GOODMAN GROUP,Goodman Group,,,,
86,GPT Group,63,GPT.AX,A:GPTX,GPT GROUP STAPLED UNITS,GPT Group,,,,
87,Graincorp,63,GNC.AX,A:GNCX,GRAINCORP A,Graincorp,,,,
88,Growthpoint Properties Australia,63,GOZ.AX,A:GOZX,GROWTHPOINT PROPS. AUS. REIT STAP.UTS.,Growthpoint Properties Australia,,,,
89,GWA Group,63,GWA.AX,A:GWAX,GWA GROUP,GWA Group,,,,
90,Harvey Norman Holdings,63,HVN.AX,A:HVNX,HARVEY NORMAN HOLDINGS,Harvey Norman Holdings,,,,
91,Healius,63,HLS.AX,A:HLSX,HEALIUS,Healius,,,,
