,companyName,Freq,RIC,mnemonic,name,searchTerm,finalSearchTerm,DmitrySearchTerm,MarisSearchTerm,TwitterAccount,hashtagSearch,notes,FirstTerm,
41,BWP Trust,63,BWP.AX,A:BWPX,BWP TRUST,BWP,,,,bwptrust,BWP,,BWP,
42,Cabcharge Australia,63,GK6.F,D:GK6,A2B AUSTRALIA (FRA),Cabcharge,,,,Cabcharge,Cabcharge,,Cabcharge,
43,Caltex Australia,63,ALD.AX,A:ALDX,AMPOL,Caltex,,,,CaltexAustralia,Caltex,,Caltex,
44,Cardno,63,CDD.AX,A:CDDX,CARDNO,Cardno,,,,Cardno,Cardno,,Cardno,
45,carsales.com.au Ltd,63,CAR.AX,A:CARX,carsales.com Ltd ,carsales,,,,carsales,carsales,,carsales.com.au,
46,Cash Converters International,63,CCV.AX,A:CCVX,CASH CONVERTERS INTL.,Cash Converters,,,,cashconverters,cashconverters,,Cash,
47,Cedar Woods Properties,63,CWP.AX,A:CWPX,CEDAR WOODS PROPERTIES,Cedar Woods ,,,,,cedarwoods,no twitter,Cedar,
48,Centuria Industrial REIT,63,CIP.AX,A:CIPX,CENTURIA INDUSTRIAL,Centuria Industrial ,,,,,CenturiaIndustrial,no twitter,Centuria,
49,Challenger,63,CGF.AX,A:CGFX,CHALLENGER,Challenger,,,,,Challenger,no twitter,Challenger,
50,Charter Hall Education Trust,63,AEUXX.AX,NA,NA,Charter Hall Education Trust,Charter Hall education,No corresponding mnemonic,,CharterHallGrp,CharterHallEducation,,Charter,
51,Charter Hall Group,63,CHC.AX,A:CHCX,CHARTER HALL GROUP STAPLED UNITS,Charter Hall Group,Charter Hall,,,CharterHallGrp,CharterHall,,Charter,
52,Charter Hall Retail REIT,63,CQR.AX,A:CQRX,CHARTER HALL RETAIL REIT,Charter Hall Retail REIT,Charter Hall Retail,,,CharterHallGrp,CharterHallRetail,,Charter,
53,CIMIC Group,63,002162.SZ,CN:STL,SHANGHAI EVERJOY HEALTH GROUP 'A',CIMIC,,,,CIMICGroup,CIMIC,,CIMIC,
54,Cleanaway Waste Management,63,CWY.AX,A:CWYX,CLEANAWAY WASTE MANAGEMENT,Cleanaway ,,,,cleanawayau,CleanawayAU,,Cleanaway,
55,Coca-Cola Amatil,63,CCL.AX,A:CCLX,COCA-COLA AMATIL,Coca Cola,,,,CocaColaAmatil,,,Coca-Cola,
56,Cochlear,63,COH.AX,A:COHX,COCHLEAR,Cochlear,,,,Cochlear,,,Cochlear,
57,Codan,63,CDA.AX,A:CDAX,CODAN,Codan,,,,,,no twitter,Codan,
58,Collection House Ltd,63,CLH.AX,A:CLHX,COLLECTION HOUSE SUSP - SUSP.14/04/20,Collection House Ltd,,,,,,no twitter,Collection,
59,Collins Foods,63,CKF.AX,A:CKFX,COLLINS FOOD,Collins Foods,,,,,,no twitter,Collins,
60,Commonwealth Bank of Australia,63,CBA.AX,A:CBAX,COMMONWEALTH BK.OF AUS.,commonwealth bank,,,,CommBank,,,Commonwealth,
61,Computershare,63,CPU.AX,A:CPUX,COMPUTERSHARE,Computershare,,,,Computershare,,,Computershare,
62,Corporate Travel Management,63,CTD.AX,A:CTDX,CORPORATE TRAVEL MAN.,Corporate Travel Management,,,,TravelCTM,,,Corporate,
63,Credit Corp Group,63,HOG,U:HOG,HARLEY-DAVIDSON,Credit Corp Group,,,,,,no twitter,Credit,
64,Cromwell Property Group,63,CMW.AX,A:CMWX,CROMWELL PROPERTY GROUP STAPLED UNITS,Cromwell,,,,,,no twitter,Cromwell,
65,Crown Resorts,63,CWN.AX,A:CWNX,CROWN RESORTS,Crown Resorts,,,,CrownResorts,,,Crown,
66,CSL,63,CSL,U:CSL,CARLISLE COS.,CSL,,,,csl,,,CSL,
67,CSR,63,601766.SS,CN:CSL,CRRC 'A',CSR,,,,,,no twitter,CSR,
68,Data#3,63,DTL.AX,A:DTLX,DATA#3,Data#3,,,,Data3Limited,,,Data#3,
69,Decmil Group Ltd,63,DCG.AX,A:DCGX,DECMIL GROUP,Decmil,,,,,,no twitter,Decmil,
70,Dexus Property Group,63,DXS.AX,A:DXSX,DEXUS STAPLED UNITS,Dexus ,,,,Dexus,,,Dexus,
71,Domino's Pizza Enterprises Ltd,63,DMP.AX,A:DMPX,DOMINO'S PIZZA ENTS.,Domino's Pizza,,,,dominos_au,,,Domino's,
72,Downer Group,63,DOW.AX,A:DOWX,DOWNER EDI,Downer,,,,downergroup,,,Downer,
73,Eagers,63,APE.AX,A:APEX,AP EAGERS,Eagers,,,,apeagerslimited,,,Eagers,
74,Energy Res Of Australia,63,ERA.AX,A:ERAX,ENERGY RES.OF AUS.,Energy Resources of Australia,,,,ERARangerMine,,,Energy,
75,Energy World,63,EAWD.PK,@EAWD,ENERGY WTR DEV,Energy World,,,,,,no twitter,Energy,
76,Evolution Mining,63,EVN.AX,A:EVNX,EVOLUTION MINING,Evolution Mining,,,,EvolutionMining,,,Evolution,
77,FlexiGroup,63,FXL.AX,A:FXLX,FLEXIGROUP,FlexiGroup,,,,,,no twitter,FlexiGroup,
78,Flight Centre Travel Group,63,FLT.AX,A:FLTX,FLIGHT CENTRE TRAVEL GP.,Flight Centre,,,,flightcentreAU,,,Flight,
79,Fortescue Metals Group,63,FMG.AX,A:FMGX,FORTESCUE METALS GP.,Fortescue,,,,FortescueNews,,,Fortescue,
80,Freedom Foods Group,63,FNP.AX,A:FNPX,FREEDOM FOODS GROUP,Freedom Foods,,,,,,no twitter,Freedom,
81,G.U.D. Holdings,63,GUD.AX,A:GUDX,GUD HOLDINGS,GUD,,,,,,no twitter,G.U.D.,
82,G8 Education,63,GEM.AX,A:GEMX,G8 EDUCATION,G8 Education,,,,G8Education,,,G8,
83,GDI Property Group,63,GDI.AX,A:GDIX,GDI PROPERTY GROUP STAPLED UNITS,GDI,,,,,,no twitter,GDI,
84,Genworth Mortgage Insurance Australia,63,GMA.AX,A:GMAX,GENWORTH MGE.IN.AUS.,Genworth,,,,,,no twitter,Genworth,
85,Goodman Group,63,GMG.AX,A:GMGX,GOODMAN GROUP,Goodman Group,,,,Goodman_Group,,,Goodman,
86,GPT Group,63,GPT.AX,A:GPTX,GPT GROUP STAPLED UNITS,GPT,,,,,,no twitter,GPT,
87,Graincorp,63,GNC.AX,A:GNCX,GRAINCORP A,Graincorp,,,,GrainCorp,,,Graincorp,
88,Growthpoint Properties Australia,63,GOZ.AX,A:GOZX,GROWTHPOINT PROPS. AUS. REIT STAP.UTS.,Growthpoint,,,,,,no twitter,Growthpoint,
89,GWA Group,63,GWA.AX,A:GWAX,GWA GROUP,GWA ,,,,,,no twitter,GWA,
90,Harvey Norman Holdings,63,HVN.AX,A:HVNX,HARVEY NORMAN HOLDINGS,Harvey Norman,,,,HarveyNormanAU,,,Harvey,
91,Healius,63,HLS.AX,A:HLSX,HEALIUS,Healius,,,,,,no twitter,Healius,
92,HHG,63,HHG.HN,VT:HHG,HOANGHA,HHG,,,,,,no twitter,HHG,
93,Hotel Property Investments,63,0219.HK,K:SHUN,SHUN HO PR.INVS.,Hotel Property Investments,,,,LincolnEvent,,,Hotel,
94,HT&E,63,HT1.AX,A:HT1X,HT&E,HT&E,,,,,,no twitter,HT&E,
95,Hutchison Telecomunications (Australia),63,HTA.AX,A:HTAX,HUTCHISON TELECOM.AUS.,Hutchison Telecomunications,,,,,,no twitter,Hutchison,
96,Iluka Resources,63,ILU.AX,A:ILUX,ILUKA RESOURCES,Iluka,,,,ilukaresources,,,Iluka,
97,Incitec Pivot Ltd,63,IPL.AX,A:IPLX,INCITEC PIVOT,Incitec,,,,incitecpivotau,,,Incitec,
98,Independence Group NL,63,IGO.AX,A:IGOX,IGO,Independence Group NL,,,,igo_difference,,,Independence,
99,Infigen Energy,63,IFN.AX,A:IFNX,INFIGEN ENERGY STAPLED UNITS,Infigen,,,,,,no twitter,Infigen,
100,Infomedia,63,INFO.NS,IN:FMI,INFOMEDIA PRESS,Infomedia,,,,,,no twitter,Infomedia,
