,companyName,Freq,RIC,mnemonic,name,searchTerm,finalSearchTerm,DmitrySearchTerm,MarisSearchTerm,TwitterAccount,hashtagSearch,notes,FirstTerm,
190,Tassal Group,63,TGR.AX,A:TGRX,TASSAL GROUP,tassal salmon,tassal salmon,,,TassalSalmon,tassal,,Tassal,tassal
191,Technology One,63,TNE.AX,A:TNEX,TECHNOLOGY ONE,TechnologyOne,TechnologyOne,,,TechnologyOne,TechnologyOne,,Technology,TechnologyOne
192,Telstra Corp,63,TLS.F,D:TSTA,TELSTRA (FRA),Telstra,Telstra,,,Telstra,Telstra,,Telstra,Telstra
193,The Star Entertainment Group,63,SGR.AX,A:SGRX,STAR ENTERTAINMENT GROUP,Star Entertainment,Star Entertainment,,,starentgrp,StarEntertainment,,Star Entertainment,
194,TPG Telecom,63,TPM.AX,A:TPMX,TPG TELECOM,TPG,TPG,,,tpg_telecom,TPG,,TPG,TPG
195,Transurban Group,63,TCL.AX,A:TCLX,TRANSURBAN GROUP STAPLED UNITS,Transurban,Transurban,,,Transurban,Transurban,,Transurban,citylink
196,Treasury Wine Estates,63,TWE.AX,A:TWEX,TREASURY WINE ESTATES,tresure wine,tresure wine,,,twe_global,twe,,Treasury,treasurewine
197,Vicinity Centers,63,VCX.AUX,A:VCXX,VICINITY CENTRES,Vicinity Centers,Vicinity Centers,,,VicinityCentres,VicinityCentres,,Vicinity,
198,Village Roadshow,63,VRL.AX,A:VRLX,VILLAGE ROADSHOW,Village Roadshow,Village Roadshow,,,RoadshowFilms,RoadshowFilms,,Village,
199,Virgin Australia Holdings,63,VAH.AX,A:VAHX,VIRGIN AUSTRALIA HDG. SUSP - SUSP.16/04/20,Virgin Australia,Virgin Australia,,,VirginAustralia,Virgin,,Virgin,VOZ
200,Virtus Health,63,VRT.AX,A:VRTX,VIRTUS HEALTH,Virtus Health,Virtus Health,,,virtushealthaba,virtushealthaba,,Virtus,
201,Vita Group,63,VTG.AX,A:VTGX,VITA GROUP,Vita Group,Vita Group,,,vitagroup,vitagroup,,Vita,
202,Vocus Group,63,VOC.AX,A:VOCX,VOCUS GROUP,Vocus,Vocus,,,VocusGroup,,,Vocus,
203,Washington H. Soul Pattinson,63,SOL.AX,A:SOLX,WASH.H SOUL PATSN.& CO.,,,,,,,,Washington,
204,Webjet,63,SMLS3.SA,BR:SMF,SMILES FIDELIDADE ON,Webjet,Webjet,,,Webjet_AU,Webjet,,Webjet,Webjet_NZ
205,Wesfarmers,63,WES.AX,A:WESX,WESFARMERS,Wesfarmers,Wesfarmers,,,Wesfarmers,Wesfarmers,,Wesfarmers,
206,Western Areas,63,WSA.AX,A:WSAX,WESTERN AREAS,Western Areas,Western Areas,,,WesternAreas,WesternAreas,,Western,
207,Westpac Banking Corp,63,WBC.AX,A:WBCX,WESTPAC BANKING,Westpac,Westpac,,,,Westpac,,Westpac,WestpacMedia
208,Whitehaven Coal,63,WHC.AX,A:WHCX,WHITEHAVEN COAL,Whitehaven Coal,Whitehaven Coal,,,WhitehavenCoal,WhitehavenCoal,,Whitehaven,
209,Woodside Petroleum,63,WPL.AX,A:WPLX,WOODSIDE PETROLEUM,Woodside Petroleum,Woodside Petroleum,,,WoodsideEnergy,WoodsideEnergy,,Woodside,
210,Woolworths Group,63,WOW.AX,A:WOWX,WOOLWORTHS GROUP,Woolworths ,Woolworths ,,,woolworths,woolworths,,Woolworths,
211,WorleyParsons Ltd.,63,WOR.F,D:WF9,WORLEY (FRA),WorleyParsons,WorleyParsons,,,,worleyparsons,,WorleyParsons,
212,WPP AUNZ,63,WPP.AX,A:WPPX,WPP AUNZ,WPP AUNZ,WPP AUNZ,,,WPP_AUNZ,WPPAUNZ,,WPP,
213,Yancoal Australia,63,YAL.AX,A:YALX,YANCOAL AUSTRALIA,Yancoal,Yancoal,,,,YanCoal,,Yancoal,
